WVSC,SOURCEID,SOURCE_ID,PARALLAX,PARALLAX_ERROR
1,8.59E+11,1.05E+18,0.572079694,0.1010683
2,8.59E+11,1.03E+18,0.135882725,0.071529396
3,8.59E+11,2.23E+17,0.723841768,0.09129552
4,8.59E+11,2.23E+17,0.564804579,0.13301182
5,8.59E+11,2.23E+17,1.631491485,0.82265013
6,8.59E+11,2.23E+17,0.823991477,0.11986946
7,8.59E+11,2.23E+17,0,0
8,8.59E+11,3.68E+17,0.020022466,0.112627685
9,8.59E+11,2.23E+17,1.555239023,0.0902151
10,8.59E+11,2.23E+17,0.459271777,0.10329204
11,8.59E+11,2.23E+17,0.324948903,1.6423358
12,8.59E+11,3.67E+17,0.296562506,0.06527316
13,8.59E+11,3.67E+17,1.702260314,0.016600417
14,8.59E+11,1.30E+18,0.06599519,0.02142497
15,8.59E+11,1.33E+18,0.78314733,0.23600058
16,8.59E+11,1.33E+18,0.234380653,0.11835588
17,8.59E+11,1.33E+18,0.192513778,0.028352676
18,8.59E+11,1.33E+18,2.950440627,0.012772761
19,8.59E+11,7.14E+17,0.897962206,0.023076331
20,8.59E+11,1.85E+18,-0.045670704,0.14824024
21,8.59E+11,1.85E+18,0.240576162,0.04446772
22,8.59E+11,1.85E+18,0.16468935,0.108849846
23,8.59E+11,1.86E+18,0.106835527,0.32111067
24,8.59E+11,1.86E+18,0.655159769,0.2676211
25,8.59E+11,1.86E+18,0.293080988,0.025160825
26,8.59E+11,1.85E+18,1.035742543,0.6166234
27,8.59E+11,1.85E+18,0.379458897,0.117094435
28,8.59E+11,1.85E+18,0.017313898,0.14656056
29,8.59E+11,1.85E+18,0.660848805,0.022622835
30,8.59E+11,1.85E+18,1.16844423,0.028318452
31,8.59E+11,1.85E+18,3.154472087,0.6562375
32,8.59E+11,1.85E+18,0.416635992,0.013774098
33,8.59E+11,1.85E+18,0.302526349,0.11264647
34,8.59E+11,1.85E+18,0,0
35,8.59E+11,1.85E+18,0.489513875,0.03927389
36,8.59E+11,1.85E+18,0.284379791,0.038290724
37,8.59E+11,1.85E+18,0.071407214,0.07277794
38,8.59E+11,1.85E+18,0.260721459,0.13279498
39,8.59E+11,1.85E+18,0.506325968,0.14170414
40,8.59E+11,1.85E+18,2.782533488,0.07312762
41,8.59E+11,8.92E+17,0.25296124,0.050746568
42,8.59E+11,8.92E+17,0.697276174,0.258129
43,8.59E+11,8.92E+17,1.925648718,0.054804817
44,8.59E+11,1.45E+18,0.074056698,0.034729544
45,8.59E+11,1.45E+18,0.083295464,0.035244312
46,8.59E+11,1.45E+18,0.079406853,0.038698312
47,8.59E+11,1.45E+18,0.011506166,0.033397693
48,8.59E+11,1.45E+18,0.005116245,0.035149448
49,8.59E+11,1.45E+18,0.099991031,0.03682527
50,8.59E+11,1.45E+18,0.08908437,0.03463031
51,8.59E+11,1.45E+18,0.055265997,0.033438217
52,8.59E+11,1.45E+18,-0.205091097,0.2078507
53,8.59E+11,1.45E+18,0.06452651,0.033225637
54,8.59E+11,1.45E+18,0.117601831,0.042050414
55,8.59E+11,1.45E+18,0.126554766,0.036676392
56,8.59E+11,1.52E+17,0,0
57,8.59E+11,1.52E+17,0.859929468,0.15982567
59,8.59E+11,1.51E+17,0.159993345,0.62640786
60,8.59E+11,1.52E+17,0.41436463,0.027577337
61,8.59E+11,1.51E+17,0.826295346,0.1483049
62,8.59E+11,4.73E+16,-0.100338624,0.07799326
63,8.59E+11,3.31E+18,0.591724573,0.027957816
64,8.59E+11,3.35E+18,0.227183743,0.05299637
65,8.59E+11,3.35E+18,1.108160941,0.107704036
66,8.59E+11,3.35E+18,0.354010134,0.050688464
67,8.59E+11,3.35E+18,0.198299551,0.13353999
68,8.59E+11,3.35E+18,0.958343053,0.15806797
69,8.59E+11,3.35E+18,0.43153371,0.19278285
70,8.59E+11,3.35E+18,0.351479439,0.18361965
71,8.59E+11,3.35E+18,0.465770967,0.10068047
72,8.59E+11,3.35E+18,2.186815968,0.019344805
73,8.59E+11,3.35E+18,0.33319807,0.1335519
